flight_number,airline,origin,destination,date,departure,arrival,class,seat_no,attribute,seat_price,status,pnr,ticket_number
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10A,Window,1900000,occupied,X8325D,7388443971492
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10B,Middle,1750000,occupied,XSY2BU,7381305184270
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10C,Aisle,1900000,occupied,I31PZN,7380516421586
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10D,Aisle,1900000,occupied,2L1G6T,7386397432862
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10E,Middle,1750000,occupied,FI8IP7,7381616954286
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,10F,Window,1900000,occupied,DYI0ZD,7389269937513
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11A,Window,1900000,occupied,RQ3Q2Z,7380504286723
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11B,Middle,1750000,occupied,8VHALB,7388245893179
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11C,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11D,Aisle,1900000,occupied,3O34EN,7383333434665
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11E,Middle,1750000,occupied,9669BI,7385748397185
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,11F,Window,1900000,occupied,7CHBU2,7385020931419
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12A,Window,1900000,occupied,0VPMN9,7388876738968
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12B,Middle,1750000,occupied,C36NVU,7383855167239
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12C,Aisle,1900000,occupied,HMDVYY,7382226566794
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12D,Aisle,1900000,occupied,TSQFXN,7384300426213
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12E,Middle,1750000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,12F,Window,1900000,occupied,GW6AJP,7388184897367
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13A,Window,1900000,occupied,5VFVDD,7382083138415
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13B,Middle,1750000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13C,Aisle,1900000,occupied,01V5SS,7381835912030
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13D,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13E,Middle,1750000,occupied,UBVRYJ,7381773878189
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,13F,Window,1900000,occupied,WMDS9I,7382785571019
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14A,Window,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14B,Middle,1750000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14C,Aisle,1900000,occupied,WYZ4TD,7389550818620
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14D,Aisle,1900000,occupied,23Q69O,7381163487790
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14E,Middle,1750000,occupied,44WU54,7385958469585
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,14F,Window,1900000,occupied,EN58M3,7387346805342
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15A,Window,1900000,occupied,SLGD3V,7386845545708
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15B,Middle,1750000,occupied,Y4JHL3,7389559016495
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15C,Aisle,1900000,occupied,Q2DFHX,7384053029309
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15D,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15E,Middle,1750000,occupied,0BFZFU,7389348328803
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,15F,Window,1900000,occupied,96XTWB,7381693888222
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16A,Window,1900000,occupied,MML3II,7386494304811
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16B,Middle,1750000,occupied,12O1UG,7384811402736
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16C,Aisle,1900000,occupied,OGC426,7388691402063
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16D,Aisle,1900000,occupied,GMCPG6,7380447296539
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16E,Middle,1750000,occupied,JEDJWI,7384656513746
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,16F,Window,1900000,occupied,1G414H,7389234536017
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17A,Window,1900000,occupied,AGNILE,7385113730203
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17B,Middle,1750000,occupied,J6QCIW,7382115801190
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17C,Aisle,1900000,occupied,QFEGHL,7386577400802
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17D,Aisle,1900000,occupied,2NCPCE,7382966108599
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17E,Middle,1750000,occupied,WMF3XO,7384470050122
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,17F,Window,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18A,Window,1900000,occupied,4NWJEH,7389882987250
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18B,Middle,1750000,occupied,GOF1L0,7384990625114
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18C,Aisle,1900000,occupied,GIL71L,7386912952955
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18D,Aisle,1900000,occupied,30WNA3,7381521230305
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18E,Middle,1750000,occupied,JLD1IU,7383387355281
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,18F,Window,1900000,occupied,FG5LBS,7380032736105
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19A,Window,1900000,occupied,3Z9QKO,7385174141450
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19B,Middle,1750000,occupied,MHV6E9,7381795143218
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19C,Aisle,1900000,occupied,RRNPOG,7386413847009
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19D,Aisle,1900000,occupied,YEDJJ6,7381265221928
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19E,Middle,1750000,occupied,TEGQK2,7383174786453
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,19F,Window,1900000,occupied,4Q94JD,7389748879147
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20A,Window,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20B,Middle,1750000,occupied,HO29LF,7380467220305
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20C,Aisle,1900000,occupied,VNO0J3,7385224137057
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20D,Aisle,1900000,occupied,CZNLMB,7387188750953
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20E,Middle,1750000,occupied,ASBPSR,7380596565819
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,20F,Window,1900000,occupied,IDZFOF,7381279972645
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21A,Window,1900000,occupied,2QDUQN,7386528607432
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21B,Middle,1750000,occupied,WEU72G,7388234603404
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21C,Aisle,1900000,occupied,8UHVYU,7387186399753
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21D,Aisle,1900000,occupied,ZYGJLA,7381496069365
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21E,Middle,1750000,occupied,UPQAJ6,7389049142613
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,21F,Window,1900000,occupied,CVVSF5,7389448352533
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22A,Window,1900000,occupied,YJIVMU,7383336102813
