booking_id,pnr,ticket_number,customer_id,flight_number,flight_date,seat_no,class,booking_status
BK_1001,5IXIH2,7381593523349,CUST_004,VN542,2026-04-14,10C,economy,Completed
BK_1002,XT0TCU,7381508510124,CUST_008,VN416,2026-04-18,34D,business,Completed
BK_1003,F5V6US,7381448031546,CUST_009,VN257,2026-04-16,19B,business,Completed
BK_1004,6YR95W,7383625694676,CUST_012,VN829,2026-04-11,33C,premium,Cancelled
BK_1005,3C60Z2,7384133566455,CUST_015,VN829,2026-04-18,17E,economy,Completed
BK_1006,6L65T3,7380478908078,CUST_001,VN542,2026-04-13,34A,business,Completed
BK_1007,5FCT8P,7388895701689,CUST_002,VN416,2026-04-14,21A,economy,Completed
BK_1008,UOCTBK,7380438338687,CUST_009,VN211,2026-04-14,36E,economy,Completed
BK_1009,3HSBO8,7380850972340,CUST_008,VN211,2026-04-15,32D,economy,Completed
BK_1010,WOOMXU,7380264034979,CUST_001,VN416,2026-04-18,20B,premium,Completed
BK_1011,LGYKSE,7388829814420,CUST_001,VN773,2026-04-11,5F,economy,Completed
BK_1012,CU4UKB,7384627397090,CUST_004,VN773,2026-04-17,40B,business,Completed
BK_1013,3MSX02,7384612740329,CUST_004,VN416,2026-04-13,33C,business,Completed
BK_1014,3TRBRO,7383003348523,CUST_008,VN416,2026-04-17,23C,business,Completed
BK_1015,GHIUA1,7383886016280,CUST_011,VN416,2026-04-15,4E,economy,Completed
BK_1016,COFCIG,7382096354236,CUST_014,VN768,2026-04-13,27B,economy,Completed
BK_1017,SZ9Z0R,7388434758378,CUST_006,VN829,2026-04-16,23C,business,Completed
BK_1018,B19ZBS,7389527624240,CUST_003,VN324,2026-04-14,37F,business,Completed
BK_1019,G0R035,7386180031347,CUST_007,VN416,2026-04-16,16F,premium,Cancelled
BK_1020,8GVBL8,7386161590991,CUST_003,VN211,2026-04-13,36E,business,Completed
BK_1021,6S6S3N,7381873481161,CUST_008,VN542,2026-04-13,35F,premium,Completed
BK_1022,LQOYU8,7381720428713,CUST_001,VN542,2026-04-18,38D,business,Completed
BK_1023,CKMJD5,7383656658012,CUST_011,VN211,2026-04-17,21C,economy,Completed
BK_1024,U5XCFY,7382418101327,CUST_001,VN324,2026-04-14,40A,business,Completed
BK_1025,D0BBTN,7387872639504,CUST_002,VN768,2026-04-18,37E,economy,Completed
BK_1026,66SV3W,7380400448265,CUST_003,VN416,2026-04-17,24A,economy,Completed
BK_1027,FHZLB1,7387037147753,CUST_004,VN829,2026-04-14,27B,business,Completed
BK_1028,7X46SS,7380191332346,CUST_008,VN829,2026-04-18,6C,premium,Completed
BK_1029,KT2XP4,7380272910011,CUST_006,VN211,2026-04-15,23E,business,Completed
BK_1030,57BNV2,7380947844728,CUST_013,VN542,2026-04-14,13C,premium,Completed
BK_1031,H5UNKD,7388797421119,CUST_010,VN829,2026-04-14,37F,business,Completed
BK_1032,FL85NQ,7381842363006,CUST_012,VN768,2026-04-13,31E,economy,Completed
BK_1033,VDFBPF,7387832342820,CUST_009,VN211,2026-04-14,8D,business,Cancelled
BK_1034,M7SL90,7385039557971,CUST_007,VN773,2026-04-11,28D,economy,Completed
BK_1035,THSI5T,7381897025105,CUST_001,VN773,2026-04-14,8B,premium,Completed
BK_1036,TNZDMG,7381857636119,CUST_006,VN211,2026-04-11,2F,economy,Cancelled
BK_1037,GYZ8IA,7388662544432,CUST_003,VN542,2026-04-15,22D,business,Completed
BK_1038,R0OAED,7388957051865,CUST_015,VN542,2026-04-14,9C,economy,Completed
BK_1039,AP6QUR,7381542863168,CUST_013,VN324,2026-04-16,2C,premium,Cancelled
BK_1040,H5RKC7,7386636605374,CUST_004,VN829,2026-04-14,26B,economy,Completed
BK_1041,JAFM7N,7389232142455,CUST_004,VN768,2026-04-16,2E,economy,Completed
BK_1042,GEJK6Q,7382828581706,CUST_007,VN324,2026-04-15,34B,economy,Completed
BK_1043,GLMLHK,7388156940295,CUST_009,VN416,2026-04-11,27D,premium,Completed
BK_1044,R43ATP,7385890583087,CUST_008,VN829,2026-04-14,37E,business,Completed
BK_1045,K3L4N5,7380229773443,CUST_010,VN768,2026-04-11,32D,premium,Completed
BK_1046,ROOMEN,7383804185462,CUST_001,VN257,2026-04-13,14D,economy,Completed
BK_1047,RAFO6B,7389524666446,CUST_004,VN829,2026-04-15,11C,business,Completed
BK_1048,CTZ9OJ,7386747854426,CUST_010,VN773,2026-04-11,37C,economy,Completed
BK_1049,G5GDU6,7380678940885,CUST_008,VN542,2026-04-16,6F,premium,Completed
BK_1050,43W60P,7386838131872,CUST_003,VN211,2026-04-17,27C,business,Completed
BK_1051,VZQ5BE,7385851613585,CUST_006,VN257,2026-04-12,20E,premium,Completed
BK_1052,BXVZKD,7384948073662,CUST_005,VN773,2026-04-11,11C,business,Cancelled
BK_1053,8ZESKC,7380707506330,CUST_011,VN324,2026-04-14,36A,economy,Completed
BK_1054,CIES66,7383746062601,CUST_010,VN257,2026-04-17,14F,premium,Completed
BK_1055,CY45N8,7385712088792,CUST_010,VN542,2026-04-16,3D,economy,Completed
BK_1056,TSNL0K,7382093412281,CUST_001,VN257,2026-04-15,36A,premium,Completed
BK_1057,CJW0A6,7389795192756,CUST_005,VN829,2026-04-11,10E,economy,Completed
BK_1058,BDK2W6,7384694884218,CUST_013,VN768,2026-04-12,38B,business,Completed
BK_1059,KZYS0K,7385861032166,CUST_006,VN829,2026-04-14,28E,business,Completed
BK_1060,8LKFDX,7386820398539,CUST_010,VN211,2026-04-15,36D,business,Completed
